,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
4522,20509,4,0,bvYzf-0bMCE,1,0,20,1051,16792,143,963925,13
589,19965,4,0,jE2txaRhfrs,0,0,20,645,9273,109,383697,26
12542,7531,3,0,PlZOzTxNojg,0,0,23,15568,151070,1965,6321950,9
21047,16675,0,0,AgcBdCmPD2I,0,0,22,541,1674,103,380237,6
20699,412,0,0,39ccoIfyQUY,0,0,24,1418,13484,246,488342,9
6038,11806,1,0,xipp6l1EsbI,1,0,24,2880,43441,770,980616,42
2966,22628,2,0,HL9iwi2391s,0,1,20,770,2158,27,203967,14
14699,13348,1,0,hrkWRbQ67Q8,0,2,20,733,3573,88,318433,29
16464,19724,0,0,QEpVUJVht5A,0,0,20,2603,21041,439,373725,8
4357,11779,1,0,b0Naf_Hmz0k,1,0,24,4516,63311,2074,4427861,27
9529,22153,2,0,hKFbxmYcUv0,0,0,20,710,7506,78,580188,9
20579,11226,2,0,NCjUfVk4qkc,0,0,24,2291,25378,711,562401,21
11227,22876,1,0,cfDMqf236P4,0,0,43,376,3718,52,263536,12
18080,23774,0,0,d9V6WMtc36k,0,0,20,229,1825,17,111791,12
16954,7143,0,0,xrPhiZegk7Q,0,0,26,8304,18853,1046,2501319,6
9758,5971,1,0,Nyb1EkMvWrM,0,0,24,18297,219700,15179,5079077,2
1387,8314,2,0,CQYBT8EXPdo,0,0,24,5463,96449,593,3504682,5
6166,1651,0,0,9OBh4CyplCU,0,0,20,31197,434254,11817,9861362,8
5741,14520,1,0,9pdnnRPxpKU,0,0,28,1908,10549,290,889999,2
14578,10271,0,0,wOKZeYJVFdg,0,0,23,8984,85621,1209,10800336,1
13010,3322,2,0,bGdBsc5H1Qw,0,0,20,18367,119677,1850,5537419,15
8866,23506,0,0,7rcduWQTPfo,0,0,43,678,2878,47,259647,14
8349,23136,0,0,f_oSN4UWY04,0,0,43,63,749,15,56777,10
5325,15109,2,0,M9gFRXw5-kI,0,0,17,13446,181684,6071,22987008,6
2179,10132,2,0,TQaerYC4qX8,0,0,24,60778,488370,6016,13321758,6
7561,21382,1,0,vTThIKWf_pM,0,0,20,6710,29188,449,1330874,15
7321,21183,4,0,xD2HUgDccb4,0,0,20,3507,50125,430,1670659,16
17282,11078,1,0,O8iHZrj4pYQ,0,1,24,5755,66328,1582,2106258,32
17688,4110,0,0,s1_yoQlJIB4,0,0,20,3165,13193,133,709254,14
13472,21279,5,0,5t0uMPpi4_4,0,0,20,2127,12929,205,874247,21
6980,6390,0,0,H5uX6-m2ebE,0,0,20,1958,20387,335,1988580,3
15784,9244,1,0,C1E42h7WdIw,0,0,24,2638,36401,285,363441,0
2070,9906,0,0,PO8WG8i_OBs,0,0,24,587,1682,13,33252,6
9748,12802,0,0,ubyo-OcoWvY,1,0,20,8656,36288,927,2036343,49
9246,283,2,0,D0ZTKaMcqCM,0,0,24,34482,220122,108810,13563493,9
14763,14940,1,0,x9-sFbeSZug,0,1,24,585,6574,1412,5377299,3
7653,20478,1,0,pXvzypp8mlo,0,2,20,16815,139134,1193,4709022,29
1687,1045,1,0,YG2iGsY0-Pk,0,0,24,4800,75449,1818,9024243,5
6984,3861,0,0,E77IZHX3Ctg,0,0,20,33971,144092,2133,8058586,4
15222,15481,1,0,hX8iM-uUJaQ,0,0,22,6829,19939,358,1284726,12
5999,6031,0,0,6mOFDfrLqwM,0,0,20,1785,52306,875,1646985,2
16258,1399,4,0,X5Mafq-Pwpg,0,0,23,14635,126174,1336,5212540,9
7917,3752,5,0,xDXibmXkinc,0,0,20,4699,16599,240,573266,19
1741,3699,1,0,fLu54aF9Rug,0,0,20,10324,41493,922,2464883,14
6201,16015,2,0,_rXvyPTkDaA,1,0,22,1402,3395,135,443533,14
18372,23327,2,0,lqajtMubV20,0,0,43,98,519,14,49059,12
13830,12496,1,0,U4e7YXt_thM,1,0,20,5633,70770,2180,5844045,31
5252,1128,6,0,1QegOH1NWNg,0,0,24,1683,3357,190,449142,3
19106,15696,0,0,Haj8_h_qgt0,0,0,22,2011,7148,141,365578,11
13271,15451,1,0,eBPklyE592w,0,0,22,9476,17628,307,1099779,15
20087,5726,0,0,tHnPWEew9iI,0,0,23,342,1421,21,59728,4
21083,2015,1,0,Tn_sC8AlfUs,0,0,20,9044,110901,1331,2627887,6
12625,16249,0,0,5UxWpcLelz4,0,0,22,2752,6555,342,1426916,15
19678,11799,1,0,0hRYPwiqxQc,1,0,24,1658,33307,1565,1687789,40
9304,10175,0,0,sjBI6asAOi4,0,0,24,3798,27587,4553,1042665,3
20942,22810,1,0,wQoF2zMYarc,0,0,43,299,3005,35,245707,11
11189,24172,0,0,hMx48GXwEAc,0,0,20,539,1764,22,169075,14
9104,10420,1,0,_OTM1YSzlpo,1,0,20,3659,55170,934,1095203,25
713,22940,0,0,I1FvSn3J6ms,0,0,43,289,2197,58,61548,13
11971,9204,1,0,XRDYl2GZDaY,0,0,24,1450,17917,118,252524,7
5390,20902,3,0,sXUkqoehz7A,0,0,20,3287,13428,243,416362,15
1945,4674,0,0,Fn9VVmMhd5w,0,0,23,2900,21059,433,868752,13
21109,8462,1,0,X0uYvQ_aXKw,0,0,24,7938,74679,897,2696778,0
17857,12892,1,0,L58Hk1ywYl8,1,0,20,4165,30447,753,1925223,13
10202,9278,1,0,t323fZS9RQU,0,0,24,973,21473,162,254862,5
11951,5661,0,0,57Ntj7clU_U,0,0,24,32,220,6,21216,1
6263,13673,0,0,fJ15dHHFK0I,0,0,20,25,650,12,25577,0
1936,2522,0,0,ChpMS-4axZk,0,0,20,11,146518,2518,4705033,7
7677,8017,1,0,eOPnVct4HPY,0,0,26,482,1494,124,294441,18
9482,16037,0,0,rM7ToDVdvao,0,0,22,1549,3482,200,486714,12
7221,6783,2,0,qtnA_ZIQsoI,0,0,20,2289,36908,2362,1297571,5
14820,12544,0,0,bLQW6LQkXno,2,0,20,5426,50895,685,1595323,34
9602,20485,2,0,jz4nBut3hW0,0,0,20,1139,14370,114,592519,21
13634,4958,1,0,31pmEibQpFI,1,0,24,8932,142899,3881,7592588,4
12627,7142,0,0,Rk4xdYt3ick,0,0,26,13157,54715,1701,8787238,5
6513,11369,1,0,Hios50TS9bY,0,0,24,4172,58606,1241,1552899,31
11100,11209,1,0,0KSmz_3xtqc,0,0,24,8748,80550,1998,2297546,44
9218,10414,2,0,XNdUaHm6c0A,0,0,20,3991,103566,1873,1193425,24
16520,6286,1,0,Mys7LN4aPoI,0,0,20,1584,8525,1663,324053,1
8813,224,0,0,t26C9OJjGT4,0,0,24,637,7789,478,401606,5
16031,23499,0,0,3ATfhbt8ibY,0,0,43,466,1838,37,261231,13
12589,21344,1,0,y3mXOBjM60M,0,0,20,1229,13391,147,733430,16
19846,4301,0,0,gmoBhg4vlcw,0,0,20,1641,9425,110,583288,11
12003,13863,0,0,zPoeRXvE-g8,0,0,28,1603,12211,847,611575,2
17229,2569,0,0,XGAVllVvux0,0,0,20,17,204754,1700,5708065,4
5163,22458,0,0,cJH2wkzGjcg,0,0,20,663,3203,52,256266,13
12082,6090,1,0,GiMkdxolTUI,0,0,24,8536,154554,3919,11421885,7
3989,2365,0,0,aryapXCL6xg,1,0,20,0,82605,2148,3331503,6
17526,17094,0,0,NFWPURZwSa0,0,0,22,202,2192,776,4214761,3
1196,14737,0,0,n-jW-aZAMf8,0,0,24,910,1688,94,395787,1
13994,7159,5,0,Lc-8onVA5Jk,0,0,26,3734,12454,289,2549518,1
3205,4741,2,0,F55ZMlxrLPQ,0,0,23,2571,19931,819,706620,5
3475,11153,1,0,ORUAjgSo2Dw,1,0,24,3620,54237,1064,1131790,51
18701,8083,1,0,yXLNamCEqsw,0,0,20,446,1965,76,381015,14
14836,5598,1,0,z7VUWEIBVkE,0,0,23,86,523,51,60394,1
9402,11193,1,0,T9ZL2QwT944,0,0,24,1558,37386,663,622965,33
15582,14030,0,0,oVUQrKnorFw,0,0,28,1223,16689,990,970662,3
1613,1067,0,0,gfNzNS2Oxfo,0,0,24,1547,10194,2166,1228211,4
17580,16752,0,0,-RkXDH8U0os,0,0,22,2175,3356,265,905254,14
17399,8250,4,0,s3Pb59gEyYQ,0,0,22,41191,304036,1074,5123876,7
5941,13616,0,0,EyrflENzpww,0,0,20,9246,61396,3101,6456810,35
6319,2744,1,0,qm_zeVtgFzc,1,0,20,19360,197989,1487,5141035,26
20380,11640,1,0,ap489nHZWug,0,0,24,3508,82512,1439,2833658,31
11074,8472,1,0,ZUXUFWY_0MA,0,0,24,2045,20446,499,860557,1
8521,2056,0,0,X6KADrUM7fU,0,0,20,19431,108987,1098,2053928,7
15081,22179,2,0,YSXVsIOYreQ,0,0,20,535,4420,109,385671,9
203,7232,0,0,AYsJfmLmwX4,0,2,22,2284,21169,400,653898,55
1750,11062,1,0,IPLONfhW13w,0,0,24,5155,45926,1403,1829398,43
18698,23340,1,0,hbli6dwvXOE,1,0,43,53,478,3,28487,9
14920,22265,10,0,kn4mpvbmdyw,2,0,20,1098,5587,89,585149,12
15190,11103,1,0,LMXsgEzaH7Q,2,0,24,5642,85536,2447,2100134,37
16744,7996,1,0,bV9K_nJsIQU,0,0,26,405,1530,91,237301,14
16271,8320,2,0,wcF0Qwozxmk,0,0,24,10568,155363,2891,5488447,6
15484,13247,1,0,Q_MZ_6jq8M0,0,0,20,3661,17511,789,1834781,33
16372,22735,2,0,yh6DsGOiDZw,0,0,43,1113,5171,51,228776,15
18353,2856,1,0,uZpUnmuOISQ,0,0,20,7892,228514,2061,11056637,1
13075,17204,0,0,dmSdFTMwmMo,0,0,22,157,2061,404,2314489,3
4413,8998,0,0,w0dor-YPMEg,0,0,22,1439,13495,101,200109,8
9309,9968,0,0,sx84OvUuPWM,0,0,26,487,1255,9,29710,3
1101,1551,0,0,OYpwAtnywTk,0,0,23,80331,488602,24738,65134871,2
17310,24063,0,0,EBMNgxnUEOU,0,0,20,616,2588,44,131567,17
2577,4511,0,0,rai4efjvtcw,0,0,20,560,5099,39,296264,12
5959,15456,1,0,z-I9Fh89il0,0,0,22,5358,15139,278,1053343,20
16780,3324,2,0,lRmg9ScpPSE,0,0,20,28918,146820,2096,6646793,17
12587,17257,0,0,TLgDYEmf2xA,0,0,22,143,1570,432,1669021,4
2993,16993,0,0,j0EasvrRSFw,0,0,22,90,591,97,236614,3
7437,3702,1,0,FZJ6E8szlTE,0,0,20,18150,49116,2073,5250063,17
20339,12229,0,0,GbS9d1zqTJo,0,0,20,12118,55497,1106,2050381,34
4749,6582,0,0,BP7WT9FA0zg,0,0,20,1796,20152,287,2235794,1
20832,3096,1,0,XCPhOg5zSGs,0,0,20,10859,165482,4792,7606921,10
2627,20182,6,0,PVtxYM834OA,0,0,20,2705,20467,220,831082,15
8317,4591,0,0,WbjaJjbUOio,0,0,23,163,3806,48,220488,0
3646,7058,2,0,JFfBCmvwSWY,0,0,26,4718,11730,1410,1274109,0
3610,21113,4,0,2FpcZNYUlPk,1,0,20,746,12524,134,416826,13
9668,20649,3,0,Wazar6EqIo4,0,0,20,537,7734,89,280856,13
10351,17081,0,0,nmnV05oKnGw,0,0,22,92,738,222,637475,2
13223,21923,1,0,O2Efa4EwLs0,0,0,20,619,3965,38,142351,16
19365,16580,0,0,HyAI9496Hxk,0,0,22,387,791,28,78163,12
14479,4187,2,0,JV2Xz60d9ZE,0,0,20,4191,41826,571,3007946,10
11856,13725,0,0,H9J1WU5m3uk,0,0,28,2917,35040,843,1484068,5
9447,9909,3,0,ARB1q4FhJMk,0,0,24,754,2271,21,52539,6
18336,22871,1,0,lyqfiYJB4Qk,0,0,43,513,3336,60,272090,11
11559,16303,0,0,NmYv_R-zzw8,0,0,22,2305,5313,521,1313486,13
2055,3687,1,0,jFQTxm-RvXE,0,0,20,8092,40909,415,1756114,14
582,12088,1,0,b8hvaGj6YSY,0,0,24,6551,64948,1339,3471341,37
7400,12774,0,0,l2m6-jW2Fok,1,0,20,2326,37720,624,2517510,14
13527,16222,0,0,M3mLf57tQo8,0,0,22,14470,17720,761,3853003,12
294,21172,4,0,LASc5AT5n00,1,0,20,2443,22628,239,984935,13
20027,13028,2,0,-HOJi8YoIZ8,0,0,20,2502,11960,220,397893,35
13907,489,2,0,Ar20hv0rpBM,0,0,24,8815,135408,3633,8222192,7
10911,16068,0,0,plps0StW_yI,0,0,22,1424,4094,195,619102,12
19513,11305,1,0,WHgYu0_6qmc,0,0,24,4562,52408,1324,1447479,33
14596,6224,0,0,e1cXLhBkLFA,0,0,20,3025,23188,321,989480,3
6719,21991,0,0,OfQQvjSHmbg,0,0,20,1943,3760,59,131319,28
5627,9465,1,0,ZGFNcwwqnsY,0,0,24,4432,23849,232,416543,6
13756,16499,0,0,qScwc-e1gR0,0,0,22,1526,1030,27,70335,10
21682,22466,0,0,LzGYm7H3tig,0,0,20,6474,35631,856,2563970,23
20244,10074,2,0,pCxuTueX4bw,0,0,24,122164,1009494,21427,25750504,4
19291,12551,1,0,m1YCM8QZXZ4,1,0,20,6588,24721,569,830990,43
7015,16639,0,0,b6pNJ-j_0Bw,0,0,22,517,811,36,111287,17
10025,14093,0,0,h0sQekwGLQI,0,0,28,720,8967,489,388656,1
5001,3645,2,0,QNvB7Wcip9Q,0,0,20,11398,60590,2951,7462455,18
4517,9010,0,0,MhvNsULqXaE,1,0,22,2526,25192,248,838451,8
