,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
20982,17425,0,0,cLxnGxacxvg,0,0,26,178,2329,1081,4927232,2,3606132.0
8963,4465,0,0,zlPxW56jfLU,0,0,22,921,7026,59,312922,1,3758833.0
10647,8995,1,0,C7V6tjpfzxQ,0,0,22,1203,15329,135,315056,7,3318939.0
17969,9750,0,0,fNel4j6XbnU,0,0,24,998,2340,17,64017,5,3383306.0
22027,11603,1,0,wAZmeub2nv0,1,0,24,2732,49152,1099,1694050,22,2313617.0
20041,10329,0,0,7t7k-EOpwZw,0,0,23,21803,176823,2850,12216750,4,3485591.0
3801,13619,1,0,Pb-4CVJOzjw,0,0,20,42,186,2,5895,6,3438029.0
6346,10517,1,0,Pg3SsaFZUmA,0,0,20,3224,57697,1301,1392967,14,2754197.0
6941,2964,1,0,w7VAR_6jW2A,0,0,20,6823,144392,1738,4393293,8,3267071.0
12367,7555,2,0,jQsmKCDRtHs,0,0,23,3179,30142,277,1120413,8,3289633.0
21086,23292,1,0,jiBedThv-xY,0,0,43,168,1681,16,76613,8,2880543.0
12612,14830,0,0,F4Uu9r_4iPk,0,0,24,63,1008,61,287117,1,3725222.0
12063,10389,1,0,UBYuC9EHrII,0,0,20,10860,93269,2276,1676084,44,189830.0
20583,2938,1,0,BmxCR4_abd4,0,0,10,61605,682963,15979,24209740,3,3862521.0
9535,682,0,0,rDYAGRLBO8M,0,0,24,2232,13364,597,498727,7,3212348.0
10705,24013,0,0,3PT31bgdy2U,0,0,20,581,3761,27,123471,10,3023134.0
9626,1802,0,0,mgOaAlMm9fc,0,0,22,3091,36798,297,950170,20,2134734.0
13774,13490,1,0,jPV-yxyPo8s,0,0,20,1334,10269,364,980770,28,1557493.0
11739,1638,0,0,uEQeAd0jNdk,0,0,20,8682,106946,1153,2225694,26,1655471.0
433,3,2,0,NADRu9MaHOo,0,0,24,26104,442057,10799,10551030,3,3700222.0
20445,44,0,0,vcldzojgAR0,0,0,24,15713,223836,4901,11646153,2,3639743.0
18356,5973,0,0,ATz6jE_EEN4,1,0,24,4321,113108,2413,3108612,4,3779258.0
20457,14252,0,0,fkwBjjZjW1k,0,0,28,1159,11732,203,193075,5,3316084.0
5209,706,0,0,41xny9vp3XU,0,0,24,673,6414,325,273612,7,3212348.0
3246,8593,0,0,je0SlLI07lg,0,0,22,7756,43333,648,910886,8,3160481.0
16172,12692,1,0,0vPrZIqOEFw,0,0,20,9046,72790,2033,4791091,41,446267.0
2419,13666,0,0,6Qj_HELGzlc,0,0,20,262,2515,74,115671,17,2424781.0
20274,3952,1,0,Sv47hkQmTuQ,0,0,20,4972,22575,275,866134,10,3096113.0
4331,15231,0,0,K__0pvqSUro,0,0,17,252,1636,49,428470,1,3842861.0
5444,22246,10,0,L1TnuTnTQto,2,0,20,544,4078,64,343680,13,4117434.0
18232,8578,1,0,VOIOv0mW5Bg,0,0,22,3895,36384,569,898382,11,2977023.0
9038,16658,0,0,h9dtgdu7JU0,0,0,22,1540,1358,108,273386,17,2391170.0
5135,4406,0,0,ML8clbnz4TI,1,0,1,1739,14991,152,542106,1,4422222.0
15261,8500,1,0,RB9MeaFycJM,0,0,24,460,3752,108,130572,2,3712722.0
7114,11866,1,0,paSUuT2ldE0,1,0,24,1447,27578,397,524314,35,1202391.0
3239,19917,3,0,UdIkuDUxLE8,0,0,20,800,10448,95,339105,10,3242071.0
12860,9260,1,0,VmFSSJrge9A,0,0,24,1428,25919,386,612245,7,3285328.0
14640,19661,4,0,j2YeiAGOqwM,0,2,20,829,9587,84,309159,26,829884.0
18647,2993,1,0,VUWmXF6ACDw,0,0,20,23954,262606,2933,7012405,14,2754197.0
10180,5857,0,0,9JZUB430YzE,0,2,24,8669,93001,3414,2266621,5,2265802.0
871,5843,0,0,ExbZcbuRALw,0,0,24,5154,160868,2826,7750649,9,3041391.0
3905,21105,4,0,kTrogA3bfFk,1,0,20,1910,24232,166,506414,12,3454565.0
6670,5863,0,0,liv-vDI9TA4,0,2,24,8132,119225,3698,3203713,14,1496492.0
5407,8420,1,0,v4S7q-9FkoM,0,0,24,1991,9205,46,307596,8,3199849.0
10922,21409,2,0,YI76NrB5mpE,0,0,20,672,5203,53,165112,26,1801430.0
