,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11346,1,0,Wj62l5S4Y9w,0,0,24,3645,56654,1275,1768152,13
11347,1,0,VOJotbXxzdQ,0,0,24,2224,36257,1599,1079794,34
11348,1,0,gS9X6KRrCnE,0,0,24,3815,68829,1523,1667749,29
11349,2,0,-uGOcbLDw08,0,0,24,2909,42304,1096,1301536,16
11350,1,0,2hgTCnwIqPU,0,0,24,6391,77310,2047,3129182,32
11351,1,0,hONLocyqTaA,0,0,24,2372,49657,1732,1999015,33
11352,1,0,Pik1R9-d_3U,0,0,24,4345,72592,1849,1834069,28
11353,1,0,LPqyo5apQV0,0,0,24,4010,58124,1928,2055668,14
11354,1,0,ETY8RFGPAN0,0,0,24,2730,50766,1610,2047820,30
11355,1,0,oYb4BK5Egmg,0,0,24,4431,66016,1081,1733913,29
11356,1,0,kYZRv3oMWHA,0,0,24,3429,58696,1152,2182888,28
11357,1,0,kM0wUZlBpYI,0,0,24,3671,63788,1156,1889987,28
11358,1,0,JSzDCDZ1Z4g,0,0,24,5438,76236,2277,2710169,21
11359,1,0,EpQ2wZ9Pp44,0,0,24,2764,62133,2159,3438217,26
11360,0,0,ek30yTdzNOY,0,0,24,5315,74673,1330,1844547,30
11361,1,0,44uaw6kssWc,0,0,24,5820,76705,2485,3114467,22
11362,1,0,t73PFncaO8U,0,0,24,4563,54213,1073,1385957,32
11363,1,0,4AwxOHswDkQ,0,0,24,3044,64643,1654,1664278,26
11364,1,0,jMu5V3Rq9E8,0,0,24,4140,66513,1501,1850743,32
11365,1,0,LWTZ3h_Pzhs,0,0,24,2838,32988,1895,683963,30
11366,1,0,RvcEr5B_9b0,0,0,24,5461,85020,2092,2386031,21
11367,1,0,uOe1azNGbLo,0,0,24,3118,64969,1297,1810162,27
11368,2,0,cdmdz7Q8om0,2,0,24,3508,61630,1657,1348054,33
11369,1,0,Hios50TS9bY,0,0,24,4172,58606,1241,1552899,31
11370,1,0,r9w5MJz7k7s,0,0,24,2569,77421,2223,2266741,27
11371,1,0,WxOz0fc5X0Q,0,0,24,2806,63182,1253,1227947,31
11372,1,0,YFED7p-GZHA,0,0,24,3981,67944,1261,1799102,32
11373,1,0,B7oQS3JU_9U,0,0,24,3273,130224,3020,2854452,31
11374,1,0,_ndv1uD_qFw,2,0,24,7129,121415,2793,2675746,28
11375,1,0,wjVVDXap-0E,1,0,24,1098,41658,947,978678,7
11376,1,0,DGUzIiws5eA,0,0,24,2346,72612,1275,1946714,30
11377,1,0,HZ_pRwAK2jU,0,0,24,6305,139125,4365,5513796,30
11378,2,0,MdSu55QGrmY,0,0,24,3074,51284,1288,813992,9
11379,2,0,6Z5furu9hCc,0,0,24,8430,231234,5012,5163233,7
11380,1,0,J5tvbQ_6sko,0,0,24,2186,55864,1087,2271557,28
11381,1,0,aOgjyrkiHF8,0,0,24,2931,81519,2250,2504856,30
11382,1,0,fjCwYvphwfY,0,0,24,3961,74457,1927,1771643,32
11383,1,0,7IcN68eJ2tM,0,0,24,2287,70041,1273,1627863,29
11384,1,0,bgdjAeAlZrA,0,0,24,3917,68360,1378,1869567,41
11385,1,0,SdAhyZrj2f0,0,0,24,3325,80897,2293,2893284,21
11386,1,0,GsMLOg-QVOg,0,0,24,3227,84932,2535,2266036,23
11387,0,0,B4evjUEyQqw,0,0,24,9585,119056,2472,1448416,5
11388,2,0,uTsQf6d0Sjs,0,0,24,3658,100589,1975,3083495,22
11389,1,0,-NzSV8SOJQw,0,0,24,727,24000,1316,764933,15
11390,1,0,VoXWDGe1EMY,0,0,24,1130,35972,1916,1551112,12
11391,1,0,gcB9ulZ2mJQ,1,0,24,4779,120759,3602,5880004,24
11392,1,0,A9Y2CJUA0zY,0,0,24,2329,73446,1352,1952044,30
11393,1,0,5iN_z4Qn8kw,0,0,24,2321,71769,1146,1968682,28
11394,2,0,dp_h3d2UaDQ,0,0,24,1611,36040,2047,942928,23
11395,1,0,lj19wZ0IKIo,0,0,24,1057,35400,749,768556,19
11396,1,0,5dOOKxzTqlQ,0,0,24,3057,74360,1349,1953441,33
11397,1,0,aHF_ksA2_eM,1,0,24,3114,60250,1361,1735905,34
