,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
12198,1472,0,0,MXzwAXzUwwE,0,0,23,33115,231817,7151,22083405,7,3301846.0
11470,9647,0,0,_iB-jxT2SI4,0,0,26,2197,14584,316,841407,6,3344188.0
3156,2260,8,0,SLHoFHDTI-0,1,0,20,27,288165,2265,6198391,8,3259503.0
14204,8066,1,0,Dsudvd4YD6Y,0,0,22,9523,29603,1380,5610284,8,3233014.0
15018,3148,1,0,Y5TmWut-BS4,0,0,20,8945,112146,1663,5512891,10,3095351.0
6042,22228,1,0,DSWyW3lYeNM,0,0,20,937,6743,162,1091239,9,3177427.0
13633,8212,1,0,X7TPMTXmaAo,0,0,24,4891,102481,390,1363270,6,3370677.0
10971,21714,1,0,1I7Qw8SpftI,0,0,20,449,3494,44,149917,16,2602895.0
11488,5746,0,0,DSwWGqaDOEs,0,2,24,7654,107195,6604,3189678,11,2960297.0
5483,20844,3,0,fPKtnoKghX0,1,0,20,2724,31153,1480,5765903,17,2520819.0
1851,9067,1,0,nZiOR_P9DNo,0,0,22,2080,21692,121,276373,9,3150938.0
11878,12117,1,0,r_v19zPSd8M,0,0,24,6102,69614,1009,2043649,41,498015.0
855,21725,1,0,9Vt52DhPN94,0,0,20,6663,31799,711,1440663,29,1535906.0
8537,2085,0,0,7fIWlkKyyXQ,0,0,20,7942,161064,1681,4784860,6,3423655.0
18555,13316,0,0,87te59pi9fI,0,0,20,874,3990,69,169839,37,879298.0
9704,12740,0,0,rj3m_RyyqfI,2,0,20,2627,15061,373,462789,43,386842.0
11991,1154,0,0,GDEQ6wmt8x0,0,0,24,11454,45109,1968,5711227,7,3288601.0
20087,5726,0,0,tHnPWEew9iI,0,0,23,342,1421,21,59728,4,3548074.0
20328,5685,0,0,L4AkwIqXU_A,0,0,24,142,1271,34,325113,0,3863133.0
16038,2408,0,0,X8avqq2iOBM,0,0,20,31,255340,1790,5272327,5,3505731.0
17858,9990,0,0,enYht9CqfIM,0,0,20,531,964,13,37285,4,3587808.0
12256,19730,2,0,YqBdHcXW1Wk,0,0,20,1455,13585,89,251655,23,2028363.0
14571,2604,1,0,gdQwEWgZX7M,0,0,20,8182,521559,7234,9305336,7,3341579.0
4183,9471,1,0,03pYda7clC8,0,0,24,4131,17901,236,292596,5,3452753.0
6740,3824,0,0,fxI5wTEr97g,0,0,23,15647,75356,983,4743053,6,3383922.0
