,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
16593,21851,1,0,CNnJA7foZHo,0,0,20,1260,4220,47,201126,18,2412281.675478775
11212,452,0,0,uX0ZvNx6Tx0,0,0,24,1017,8803,312,359621,8,3126869.5097485413
2692,11184,1,0,IL598LPNp0A,0,0,24,2350,23712,573,554834,26,1661228.248082432
10993,10759,2,0,5lEPa8I0DGQ,0,0,24,4489,50523,1036,1326852,23,1990644.1132814856
19343,7443,2,0,KYadw8gNOok,0,0,23,10930,227868,1849,8141164,4,3631548.953783322
12458,534,0,0,XI8o6s1pmwg,0,0,24,2706,84902,2018,4713023,7,3212348.420551644
16344,13985,0,0,4VWTBCJmuQQ,0,0,28,1764,28466,620,933851,1,3657999.744398743
10427,7871,0,0,1cgbDMYsLDw,0,0,26,44400,198116,9214,38253968,12,2751342.7960503697
3684,23841,1,0,fQSe5qRuE_E,0,0,20,329,2545,27,93637,15,2668718.407888084
906,13772,0,0,iABr_UhqDyg,0,0,28,5432,53543,2546,4073938,5,3316084.101186331
17971,19727,5,0,Mlfn-vA7kRo,0,0,20,3056,24053,291,838486,10,3388029.4930625777
16516,6118,1,0,oTX1rFp5ppc,0,0,20,2514,56850,755,2255123,5,3523507.515919114
11657,22042,0,0,YzkKeY1nHjc,0,0,20,378,3481,34,99765,13,2766697.0967045454
10483,3491,1,0,GD6luD-93ug,0,0,20,7331,40536,424,1198913,14,2754197.318691187
10466,2829,1,0,V2QecyxkEY8,0,0,20,11021,122503,1297,4179119,12,2925155.1402973933
15278,3228,1,0,_7xWp2iQDwU,0,0,20,24680,198220,1837,8332392,5,3523507.515919114
10102,15655,0,0,h0Kn-8hgIog,0,0,22,6462,17522,189,577943,15,2562128.20461258
17760,7561,1,0,nVLcxfDQry4,0,0,23,341,2679,66,180153,4,3558569.8209935776
10250,1727,0,0,VY4wCi1pPkU,0,0,20,109116,969632,27338,20293705,4,3536007.2939324724
2022,12857,1,0,mUiVGsb8qZ0,0,0,20,10434,49578,634,1582531,52,-494001.29182672594
14242,15328,1,0,9ihtFoL9RxE,0,0,22,4006,16606,116,451596,19,2293191.6941899126
16804,16626,0,0,gl0yyjCpx9k,0,0,22,2027,2638,182,544395,13,2733086.026218786
4652,10774,1,0,UsR2oUfnmqA,0,0,24,10322,92510,1376,2283752,38,635481.3184451964
8655,9791,0,0,v-8T-HNHvg8,0,0,24,778,1670,34,81760,10,2955911.688142335
6810,9851,1,0,vSG5QMW7QAU,0,0,24,2375,11247,48,166731,3,3627243.1965538007
10985,23604,0,0,U4BMkI7si4E,0,0,20,127,1315,23,140085,9,3108612.7399169574
9786,10629,1,0,H6i7FW_IIzU,0,0,24,4534,62022,1471,2142866,20,2174101.71290105
8704,2267,0,0,P4LhWSN3YSw,0,0,20,2,154386,1566,3499827,7,3279570.561523163
7803,15088,1,0,xmEI_HZS64U,0,0,17,20621,135210,1861,7586993,8,3317487.389238444
2302,19756,4,0,aMLwJtzrjH0,0,0,20,700,6905,177,319040,21,2374782.3414387004
12636,22131,2,0,H2R9u57o_8Y,0,0,20,442,4091,63,229141,11,3083613.1838902407
7658,6610,0,0,qlt45bnYVlQ,0,0,20,1121,5792,106,500046,3,3621486.2047355752
12473,24056,0,0,8wJEt3OAxJE,0,0,20,1168,6438,87,232540,11,2937654.918310751
15958,13091,1,0,-6lTK_3kLYw,0,0,20,11259,27513,682,984134,40,531745.6378105101
20270,4196,0,0,wcJ1l_L6DtM,0,0,20,3275,22358,166,1027391,10,3023133.829113854
19037,17355,0,0,M_mEwUvMOh0,0,0,22,223,3029,886,5205983,3,3587875.1342498157
1209,15509,1,0,Bh0Cthz7oko,0,0,22,13762,39987,2024,4481090,22,2036754.9617806035
19208,15670,3,0,oZpJN86pNoA,0,0,22,112109,138252,2793,8763658,11,3122981.2461942257
12810,657,0,0,Wy53G8-pAy0,0,0,24,14770,65128,3435,5793786,8,3126869.5097485413
1096,10688,2,0,x0MHMHkpW30,0,0,24,10216,82077,1603,1152829,1,3871180.150949751
3864,20602,4,0,WmaDZWlC6xg,1,0,20,928,13571,205,689005,17,3027170.6205852972
4002,23508,0,0,DnHxpYi5Ggw,0,0,43,439,2009,38,219338,14,2294690.875315207
2819,1030,0,0,FzozSSGETJo,0,0,24,11026,109059,14805,11046550,6,3297827.331354747
